subject_id,network,n_regions,CRRP_Allocation,CRRP_Flexibility,CRRP_Residual,CRRP_Contrast,CRRP_Switching
130821,SalVentAttn,22,0.37081216490433744,0.002572475726433666,5.275746457978829e-06,6.01445304162813e-06,0.0005109241202920251
130821,Limbic,12,0.2936854657775289,0.002093091773891658,6.401076608037233e-06,6.209391536038116e-06,0.0005529630362390299
130821,Cont,30,0.3952004508195421,0.004144783749801558,6.342536066443593e-06,6.969133640769468e-06,0.0006081722857599789
130821,Default,46,0.3823924925512843,0.004668193036889692,6.8504323110578656e-06,8.712297358217817e-06,0.0007017736286300273
130922,Vis,29,0.367290256608951,0.000758498858563145,4.311995305269906e-06,3.7314353734476246e-06,0.00035326396104085934
130922,SomMot,35,0.4258877298722921,0.0016652574990873666,3.296536004863349e-06,4.487468753918726e-06,0.0003518248380454644
130922,DorsAttn,26,0.39672555544579696,0.002068584604325357,4.016666905948541e-06,4.5729318297015525e-06,0.00038627354482984716
130922,SalVentAttn,22,0.3776998525797188,0.0012810798212817276,3.127299690415834e-06,4.064682413240714e-06,0.00032115843873018943
130922,Limbic,12,0.2590086551298391,0.0014302394838482538,5.643592422909276e-06,4.461517750900357e-06,0.0004266524324538022
130922,Cont,30,0.39416227154475963,0.0024920194019316727,4.8135933379396245e-06,5.4900614805923185e-06,0.0004636264910157881
130922,Default,46,0.3722577723669941,0.0028322744750763655,5.442126613180395e-06,6.973199211661718e-06,0.0005518132139257162
131217,Vis,29,0.39252401283878985,0.0007234007560697615,4.284601302228728e-06,3.527170636515772e-06,0.00034464414577778683
131217,SomMot,35,0.40083489581528686,0.001421202346931936,2.9044162630231023e-06,3.5504524508583318e-06,0.00029208673963183646
131217,DorsAttn,26,0.3702484451528224,0.001314415981619023,3.534653239143785e-06,3.848660140387747e-06,0.0003316445678614553
131217,SalVentAttn,22,0.3922613904167189,0.0011803559134311856,3.231847850397039e-06,3.85500063482009e-06,0.0003183456906569171
131217,Limbic,12,0.31161236550973226,0.000888562451655592,4.2400525880389625e-06,3.923411278875198e-06,0.000353877825568015
131217,Cont,30,0.38225273640955076,0.001912385753708984,4.398518965035058e-06,5.770252497116173e-06,0.0004514271287617264
131217,Default,46,0.3576504287661258,0.0015366610138197758,3.8750592643045355e-06,4.757181667325887e-06,0.00038432282725609694
131419,Vis,29,0.31400810604025864,0.0006832684024094389,3.8803407248510935e-06,2.4307074022087295e-06,0.0002646632189978307
131419,SomMot,35,0.3779475532505586,0.0007951531597140287,1.938952181251099e-06,2.2190295564217452e-06,0.00018675278493473425
131419,DorsAttn,26,0.3402626654558548,0.0007039037951183074,2.178057904508205e-06,1.939336238925412e-06,0.0001799428237853959
131419,SalVentAttn,22,0.365652120808535,0.0008979029806358719,1.981844113850315e-06,2.199683572888319e-06,0.00018529062457983797
131419,Limbic,12,0.2814208012010541,0.0012016614097696667,3.310209344575465e-06,3.0243574784318745e-06,0.0002723427297263583
131419,Cont,30,0.3272027449069132,0.0007075299065467243,2.8066051723405963e-06,3.020061677432884e-06,0.0002554409525785273
131419,Default,46,0.34263045855063573,0.0010938212603280506,3.4200950620697915e-06,3.799706590212706e-06,0.0003185330614891247
131722,Vis,29,0.40771507811660207,0.0007966492499492304,4.114209046710769e-06,3.320103639918184e-06,0.0003249959526517444
131722,SomMot,35,0.45266120155613593,0.0009830496150337728,2.598472859620167e-06,2.994324582131984e-06,0.0002518978302883389
131722,DorsAttn,26,0.39575213171924994,0.0013647427775378153,3.252841739767124e-06,3.912014608324697e-06,0.0003205434987238156
131722,SalVentAttn,22,0.4188526413837016,0.0012137521623309976,3.00439808095757e-06,3.955442711751488e-06,0.0003101721218808261
131722,Limbic,12,0.35348707955098724,0.001008855201414754,4.212235073312664e-06,3.910517124044261e-06,0.0003542925961563142
131722,Cont,30,0.4439651692718135,0.0022155531387810725,4.6304354238067405e-06,6.233238212432303e-06,0.0004896094023106914
131722,Default,46,0.39792571770363344,0.0018927473896746447,4.4335648410590255e-06,5.994710469925542e-06,0.0004634061182863309
131823,Vis,29,0.36998722142012935,0.0006386078048380713,4.5693348852305935e-06,2.2412405171563574e-06,0.00028122080442390655
131823,SomMot,35,0.40664510260173825,0.0006643680079673087,2.923367097500333e-06,2.9958201912654778e-06,0.0002669499817411362
131823,DorsAttn,26,0.4049463253376009,0.0010523499758021914,3.35069285383395e-06,3.0242229191395106e-06,0.00028283509492830816
131823,SalVentAttn,22,0.42756578096804476,0.0007708466165900212,3.1139099037651003e-06,3.35257525295247e-06,0.0002903209590714063
131823,Limbic,12,0.33401896821869786,0.0015163991185870448,4.6869702511317585e-06,4.209097656375077e-06,0.0003810767352962861
131823,Cont,30,0.41595661736846906,0.0013243918722082167,3.7314223983070487e-06,3.5971527181735586e-06,0.00033037658268511994
131823,Default,46,0.4130543364176075,0.0014980000029342934,3.8303374899659025e-06,4.162812919272415e-06,0.0003546079935546177
131924,Vis,29,0.4041771645803267,0.0006546424783711885,3.4614602228256773e-06,2.281121919563848e-06,0.0002420555928563663
131924,SomMot,35,0.4145799941686494,0.0006042036319447198,1.8537118146211763e-06,2.3108892468254526e-06,0.000184477667310095
131924,DorsAttn,26,0.37411357904348697,0.000924714769971302,2.5895885267932627e-06,2.649086061284876e-06,0.00023334746783175398
131924,SalVentAttn,22,0.36727622776359303,0.0005593409377658763,1.991560059024224e-06,2.7525668179175293e-06,0.00020707562828333625
131924,Limbic,12,0.297796342018034,0.0008558116766465186,2.7209521141171493e-06,3.0091621582357764e-06,0.0002493857401957569
131924,Cont,30,0.4043028177276031,0.0009260344149824809,3.0563236760773377e-06,3.3366767360727687e-06,0.00028431633345364177
131924,Default,46,0.3841397705973094,0.0009382970981842253,3.2662764176655247e-06,3.7494627139720643e-06,0.0003116282078395217
132017,Vis,29,0.36572451357914343,0.0017201777683308198,7.30941595313872e-06,4.989430219940411e-06,0.000540283358842455
132017,SomMot,35,0.4144286682701095,0.0021233744850234744,4.411692520377599e-06,5.032843916481691e-06,0.00042501343634380627
