shuffle_id,network,n_regions,CRRP_Allocation,CRRP_Flexibility,CRRP_Residual,CRRP_Contrast,CRRP_Switching
12,Default,46,0.4615170748144882,0.0031945477504210333,6.896219236434782e-06,6.001165029968712e-06,0.00058208673261621
13,Vis,29,0.2820430114582751,0.0033675270144728296,6.2905605800540374e-06,7.2941110436594665e-06,0.0006124112997886718
13,SomMot,35,0.4150480552552725,0.005696162216265792,3.8809423884654035e-06,3.2354198366574474e-06,0.00032095508720030676
13,DorsAttn,26,0.3766651950028346,0.004482279622050677,4.368513076492539e-06,4.786851859478107e-06,0.00041742028734387775
13,SalVentAttn,22,0.4393787375641472,0.008415215576210588,3.734729770888881e-06,3.4157274252616337e-06,0.00032943724840221316
13,Limbic,12,0.3622754487148676,0.004450376004161886,4.990377441117813e-06,4.168759789837742e-06,0.0004144340863327959
13,Cont,30,0.4065701139219862,0.004406188776240421,4.344306999185703e-06,4.278387068923278e-06,0.00039197365770546035
13,Default,46,0.42253811358246773,0.008352926976898965,5.9641853482394005e-06,5.849652950022541e-06,0.0005404664524047177
14,Vis,29,0.5172245518639949,0.003402437233880669,7.178823217144825e-06,5.720308319538994e-06,0.0005570871807228479
14,SomMot,35,0.3477868191400767,0.0024069503768410507,4.459099208036791e-06,4.181126264470341e-06,0.00036628370084873334
14,DorsAttn,26,0.4231615537236039,0.003901050477766258,5.972781160714596e-06,4.507102707627658e-06,0.00045082276124339723
14,SalVentAttn,22,0.41762474867366883,0.0021572589786275063,4.247305130775332e-06,4.397978584122743e-06,0.000382510258001658
14,Limbic,12,0.3107631561966219,0.001958778479402366,4.580840216352322e-06,5.539960217108604e-06,0.00045140939724446194
14,Cont,30,0.3381872178488349,0.002954535617674289,5.2235487223372466e-06,5.651787032961031e-06,0.0004818396971422807
14,Default,46,0.3813588250291772,0.004895457248029938,5.4690837034022286e-06,6.08715764880867e-06,0.0005195232108232905
15,Vis,29,0.4267950793436206,0.005061452077968636,6.966678228802866e-06,7.04328962385264e-06,0.0006468575985834729
15,SomMot,35,0.4254568915964646,0.002075073901907712,3.395918908589248e-06,3.2052481008298456e-06,0.00030143727270893236
15,DorsAttn,26,0.37098796776907267,0.00281956017360192,4.238741595431344e-06,4.010783417992209e-06,0.00037561238048142013
15,SalVentAttn,22,0.3990147544291951,0.0020500250150104616,4.100720580991785e-06,4.62746111910846e-06,0.00039933194197701224
15,Limbic,12,0.33430809453564564,0.0021200674957763776,5.12667117104142e-06,5.456550626106028e-06,0.00048182028268889003
15,Cont,30,0.3592745907177835,0.004240586217365827,6.2114170455015395e-06,5.436901018134515e-06,0.0005209019770691628
15,Default,46,0.3479471969408268,0.0031367463285340647,5.326031717116212e-06,7.551782380399146e-06,0.0005744213204880251
16,Vis,29,0.3583020888436608,0.002634531723947351,4.966005792120494e-06,6.05976716499437e-06,0.0005042253815870601
16,SomMot,35,0.3391179486792153,0.001116209622901165,3.0927840271673416e-06,3.2873485236220316e-06,0.00028555657731638644
16,DorsAttn,26,0.3725776390361083,0.0018376786930534325,4.585946202303825e-06,4.16724724581732e-06,0.00039840452687538684
